GID,GENREV,LIBELLEV,DOMANIAL,CODERIV,MOTD,IDENT,NOMNG,NUMEROFR,NUMEROEU,RHFV_COMMU,CDATE,MDATE
96,PCE,DU MARECHAL LECLERC,4,0370G,LECL,0030113,Place du Maréchal Leclerc ,,,27,19950125160100,20070119103400
97,CHEM,DE MARTET,4,0374L,MART,0030114,Chemin de Martet ,,,27,19950125160100,20070119103400
99,IMP,DU MAYNE,4,0379S,MAYN,0030116,Impasse du Mayne ,,,27,19950125160100,20070119103400
100,CHEM,DE MERLE,6,0384X,MERL,0030117,Chemin de Merle ,,,27,19950125160100,20070119103400
101,RUE,DE MERLET,4,0385Y,MERL,0030118,Rue de Merlet ,,,27,19950125160100,20070423170700
102,RUE,DU MONASTERE,4,0396K,MONA,0030119,Rue du Monastère,,,27,19950125160100,20070423170700
104,IMP,MORAND,5,0400P,MORA,0030121,Impasse Morand ,,,27,19950125160100,20070119103400
105,CHEM,DU MOULIN,6,0401R,MOUL,0030122,Chemin du Moulin ,,,27,19950125160100,20070119103400
107,CHEM,DE LA MOULINE,6,0412C,MOUL,0030124,Chemin de la Mouline ,,,27,19950125160100,20070119103400
108,RUE,DE LA MOULINE,4,0403T,MOUL,0030125,Rue de la Mouline ,,,27,19950125160100,20070119103400
109,CHEM,DE LA MOULINE SUD,6,0413D,MOUL,0030126,Chemin de la Mouline Sud ,,,27,19950125160100,20070119103400
542,RUE,MOULERIN,4,0528C,MOUL,0320105,Rue Moulerin ,,,20,19950125160400,20070118193600
325,AVE,DES GIROLLES,4,0119R,GIRO,0130042,Avenue des Girolles ,,,28,19950125160200,20070118193500
326,AVE,DU GRAND VENEUR,4,0120S,VENE,0130043,Avenue du Grand Veneur ,,,28,19950125160200,20070423154900
327,ALL,DES GRILLONS,4,0122U,GRIL,0130044,Allée des Grillons ,,,28,19950125160200,20070118193500
328,RUE,DES GRIVES,4,0121T,GRIV,0130045,Rue des Grives ,,,28,19950125160200,20070118193500
329,RUE,GUTENBERG,5,0123V,GUTE,0130046,Rue Gutenberg ,,,28,19950125160200,20070118193500
330,RUE,DES HIRONDELLES,4,0127Z,HIRO,0130047,Rue des Hirondelles ,,,28,19950125160200,20070118193500
331,CIM,INTERCOMMUNAL,7,5011*,INTE,0130048,Cimetière Intercommunal ,,,28,19950125160200,20070118193500
332,RUE,DES JONQUILLES,4,0150Z,JONQ,0130049,Rue des Jonquilles ,,,28,19950125160200,20070423154900
333,RUE,DE LA LANDE,4,0155E,LAND,0130050,Rue de la Lande ,,,28,19950125160200,20070423154900
334,ALL,DES LAVANDIERES,4,0156F,LAVA,0130051,Allée des Lavandières ,,,28,19950125160200,20070118193500
335,RUE,DU LAVOIR,4,0157G,LAVO,0130052,Rue du Lavoir ,,,28,19950125160200,20070118193500
336,AVE,DE LESTRILLE,4,0094N,LEST,0130053,Avenue de Lestrille ,,,28,19950125160200,20070423154900
337,RUE,DES LEVRIERS,4,0159J,LEVR,0130054,Rue des Levriers ,,,28,19950125160200,20070118193500
338,ALL,DES LIBELLULES,4,0166S,LIBE,0130055,Allée des Libellules ,,,28,19950125160200,20070118193500
339,ALL,DES MAGNOLIAS,4,0208M,MAGN,0130060,Allée des Magnolias ,,,28,19950125160200,20070118193500
340,RUE,DU MALAGA,4,0209N,MALA,0130061,Rue du Malaga ,,,28,19950125160200,20070118193500
341,RUE,DU MALBEC,4,0210P,MALB,0130062,Rue du Malbec ,,,28,19950125160200,20070423154900
342,RUE,DU MERLOT,4,0211R,MERL,0130063,Rue du Merlot ,,,28,19950125160200,20070118193500
343,RUE,DES MESANGES,4,0212S,MESA,0130064,Rue des Mésanges ,,,28,19950125160200,20070423155000
344,RUE,DU MEUNIER,4,0214U,MEUN,0130065,Rue du Meunier ,,,28,19950125160200,20070423155000
345,AVE,DU MIRAIL,4,0215V,MIRA,0130066,Avenue du Mirail ,,,28,19950125160200,20070118193500
346,ALL,DU MOULIN D'ANTOUNE,4,0221B,ANTO,0130067,Allée du Moulin d'Antoune ,,,28,19950125160200,20070423155000
347,ALL,DE LA MOULINE,4,0224E,MOUL,0130068,Allée de la Mouline ,,,28,19950125160200,20070118193500
348,AVE,DE LA MOUNE,4,0225F,MOUN,0130069,Avenue de la Moune ,,,28,19950125160200,20070423155000
349,RUE,DE LA MUSCADELLE,4,0230L,MUSC,0130070,Rue de la Muscadelle ,,,28,19950125160200,20070118193500
350,ALL,DU MUSCAT,5,0233P,MUSC,0130071,Allée du Muscat ,,,28,19950125160200,20070118193500
351,RUE,DES MYOSOTIS,4,0238V,MYOS,0130072,Rue des Myosotis ,,,28,19950125160200,20070423155000
352,RUE,DES NENUPHARS,4,0244B,NENU,0130073,Rue des Nenuphars ,,,28,19950125160200,20070423155000
353,IMP,JULES GUESDE 2,0,0390390,GUES,0390390,Impasse Jules Guesde 2 ,,,12,19991210082100,20070118193700
355,BD,DES OISEAUX,4,0252K,OISE,0130076,Boulevard des Oiseaux ,,,28,19950125160200,20130812100728
356,RUE,DES OLIVIERS,4,0251J,OLIV,0130077,Rue des Oliviers ,,,28,19950125160200,20070118193500
357,AVE,DE L'OREE DU BOIS,4,0253L,BOIS,0130078,Avenue de l'Orée du Bois,,,28,19950125160200,20070118193500
358,RUE,DES PALOMBES,4,0254M,PALO,0130079,Rue des Palombes ,,,28,19950125160200,20070118193500
359,ALL,DES PAPILLONS,5,0262W,PAPI,0130080,Allée des Papillons ,,,28,19950125160200,20070118193500
360,ALL,DU PARC,5,0255N,PARC,0130081,Allée du Parc ,,,28,19950125160200,20070118193500
361,AVE,DU PERIGORD,4,0258S,PERI,0130082,Avenue du Périgord ,,,28,19950125160200,20070118193500
362,RUE,DES PERVENCHES,4,0259T,PERV,0130083,Rue des Pervenches ,,,28,19950125160200,20070423155000
363,ALL,DES PEUPLIERS,4,0256P,PEUP,0130084,Allée des Peupliers ,,,28,19950125160200,20070118193500
364,AVE,DU PEYROU,4,0257R,PEYR,0130085,Avenue du Peyrou ,,,28,19950125160200,20070423155000
365,PCE,PIERRE CURIE,4,0265Z,CURI,0130086,Place Pierre Curie ,,,28,19950125160200,20070118193500
366,ALL,DES PINS,4,0260U,PINS,0130087,Allée des Pins ,,,28,19950125160200,20070118193500
367,AVE,DU PINSAN,4,0261V,PINS,0130088,Avenue du Pinsan ,,,28,19950125160200,20070423155000
368,RUE,DE POMEROL,4,0268C,POME,0130089,Rue de Pomerol ,,,28,19950125160200,20070118193500
370,AVE,DE LA PRAIRIE,4,0272G,PRAI,0130091,Avenue de la Prairie ,,,28,19950125160200,20070118193500
371,RUE,DES RAMIERS,4,0271F,RAMI,0130092,Rue des Ramiers ,,,28,19950125160200,20070118193500
372,RUE,DES ROSSIGNOLS,4,0273H,ROSS,0130093,Rue des Rossignols ,,,28,19950125160200,20070423155000
374,RUE,DE SAINT-EMILION,4,0277M,EMIL,0130095,Rue de Saint-Emilion ,,,28,19950125160200,20070423155000
375,RUE,DE SAINT-HUBERT,4,0278N,HUBE,0130096,Rue de Saint-Hubert ,,,28,19950125160200,20070423155000
376,RUE,DE SAUTERNES,4,0281S,SAUT,0130097,Rue de Sauternes ,,,28,19950125160200,20111128090904
