GID,IDENT,NUMERO,NUMERO_X,NUMERO_Y,NUMERO_O,POP_MUN,POP_CAP,POP_TOT,POP_SDC,NB_LOG_P,NB_LOG_S,NB_LOG_O,NB_LOG_V,NB_LOG_T,CDATE,MDATE
4236,056BV06,BV06,1412121.71,4196510.59,0,56,0,56,56,23,0,0,2,25,19951208163200,20060905225800
3728,167AD02,AD02,1420486.29,4188090.25,0,58,0,58,58,25,0,0,3,28,19951204142400,20060905225800
3729,167AD03,AD03,1420450.37,4188067.82,284.7,23,0,23,23,10,0,0,1,11,19951204142400,20060905225800
4237,056BV03,BV03,1411915.6,4196415.03,0,95,0,95,95,33,0,1,1,35,19951208163200,20060905225800
4238,056BV07,BV07,1412007.89,4196585.27,0,33,0,33,33,12,0,0,0,12,19951208163200,20060905225800
4239,056BV05,BV05,1412011,4196490.51,0,28,0,28,28,13,0,0,0,13,19951208163200,20060905225800
4240,056BV04,BV04,1412072.42,4196441.28,0,57,0,57,57,19,0,0,0,19,19951208163300,20060905225800
4241,056BV02,BV02,1412026.3,4196283.78,0,45,0,45,45,14,0,0,0,14,19951208163300,20060905225800
4242,056BV01,BV01,1412023.87,4196156.16,0,29,0,29,29,10,0,0,0,10,19951208163300,20060905225800
4243,056CL01,CL01,1411675.46,4196909.85,0,25,0,25,25,8,0,0,0,8,19951208163600,20060905225800
3731,167AE02,AE02,1420558.43,4188379.84,0,133,0,133,133,58,0,0,2,60,19951204142900,20060905225800
3732,167AE03,AE03,1420852.24,4188596.21,0,76,0,76,76,35,0,1,4,40,19951204142900,20060905225800
3733,167AE07,AE07,1420765.79,4188413.67,0,982,0,982,982,360,1,2,18,381,19951204142900,20060905225800
3734,167AE04,AE04,1420976.99,4188500.08,0,46,0,46,46,18,0,1,0,19,19951204142900,20060905225800
3735,167AH07,AH07,1421273.85,4188396.52,0,56,0,56,56,21,0,0,2,23,19951204143700,20060905225800
3975,249AT12,AT12,1421156.56,4191029.48,0,32,0,32,32,13,0,0,1,14,19951205121100,20060905225800
3976,249AT16,AT16,1420791.12,4191037.84,0,145,0,145,145,39,0,0,0,39,19951205121100,20060905225800
3977,249AT17,AT17,1420877.89,4191064.21,0,95,0,95,95,26,0,0,0,26,19951205121100,20060905225800
3978,249AT10,AT10,1420944.11,4191104.96,0,85,0,85,85,36,0,0,3,39,19951205121200,20060905225800
3743,167AI12,AI12,1421813.73,4188658.22,0,42,0,42,42,10,0,0,0,10,19951204143800,20060905225800
3744,167AI08,AI08,1421657.85,4188891.82,0,98,0,98,98,32,2,0,1,35,19951204144600,20060905225800
3745,167AI01,AI01,1421881.54,4188843.42,0,142,0,142,142,55,1,0,2,58,19951204144600,20060905225800
3746,167AI02,AI02,1422130.14,4188722.8,0,83,0,83,83,29,0,0,0,29,19951204144700,20060905225800
3747,167AI14,AI14,1422281.11,4188857.34,0,18,0,18,18,8,0,0,0,8,19951204144700,20060905225800
3748,167AK08,AK08,1422299.92,4188671.93,0,26,0,26,26,10,0,0,1,11,19951204145400,20060905225800
