,type,street_simple,code_riv,street_full,code_commune,type_full,code_riv_commune,COM_code_commune,COM_code_ilot,COM_nom_commune_maj,COM_abscisse,COM_ordonne,COM_orientation,COM_nom_commune,COM_date_creation,COM_date_modifiction,ILOT_code_ilot_normalise,ILOT_pop_municipale,ILOT_pop_compté_a_part,ILOT_pop_totale,ILOT_pop_sans_double_compte,ILOT_nbr_residence_prin,ILOT_nbr_residence_secon,ILOT_NB_LOG_O,ILOT_nbr_logement_vancant,ILOT_nbr_logement_total,QUAR_code_rivoli,QUAR_nom_quartier,QUAR_nom_voie,QUAR_type,QUAR_code_rivoli_commune,nom_street_1,nom_street_2,prenoms_join_1,sexe_join_1,nombre_prenoms_sexe_join_1,nombre_prenoms_join_1,proportion_join_1,prenoms_join_2,sexe_join_2,nombre_prenoms_sexe_join_2,nombre_prenoms_join_2,proportion_join_2,title_name_1,title_genre_1,title_name_2,title_genre_2,title_coef,street_genre,perso_nom_1,perso_genre_1,perso_nom_2,perso_genre_2
41,rue,GAY-LUSSAC,0552,Rue Gay-Lussac ,17,Rue,055217ru,17,449,SAINT MEDARD EN JALLES,1398831.98,4193542.49,0,Saint-Médard-en-Jalles,19920310181800,20091119174748,449.0,25566.0,79.0,25645.0,25566.0,9366.0,47.0,33.0,211.0,9657.0,,,,,,gay-lussac,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,gay-lussac,M,,Inconnu
42,rue,GAY-LUSSAC,3895,Rue Gay-Lussac ,18,Rue,389518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,3895,Bastide,RUE GAY LUSSAC,rue,389518ru,gay-lussac,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,gay-lussac,M,,Inconnu
43,rue,GAY-LUSSAC,0477,Rue Gay-Lussac ,13,Rue,047713ru,13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340,550.0,27496.0,134.0,27630.0,27500.0,10627.0,64.0,70.0,474.0,11235.0,,,,,,gay-lussac,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,gay-lussac,M,,Inconnu
44,rue,GAY-LUSSAC,1465,Rue Gay-Lussac ,15,Rue,146515ru,15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448,318.0,56121.0,230.0,56351.0,56131.0,22025.0,181.0,178.0,935.0,23319.0,,,,,,gay-lussac,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,gay-lussac,M,,Inconnu
45,rue,GAY-LUSSAC,1107,Rue Gay-Lussac ,16,Rue,110716ru,16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812,281.0,61843.0,948.0,62791.0,61988.0,27600.0,163.0,278.0,1553.0,29594.0,,,,,,gay-lussac,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,gay-lussac,M,,Inconnu
46,rue,DES GENETS,0124,Rue des Genêts ,28,Rue,012428ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,genets,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
47,rue,DES GENETS,0167,Rue des Genêts ,22,Rue,016722ru,22,75,BRUGES,1414781.69,4193674.64,0,Bruges,19920310181800,20080925154252,75.0,10610.0,0.0,10610.0,10610.0,4327.0,12.0,32.0,157.0,4528.0,,,,,,genets,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
48,rue,DES GENETS,0487,Rue des Genêts ,25,Rue,048725ru,25,200,LE HAILLAN,1407909.48,4191394.32,0,Le Haillan,19920310181800,20091119174748,200.0,8118.0,37.0,8155.0,8132.0,3040.0,13.0,7.0,82.0,3142.0,,,,,,genets,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
49,rue,DES GENETS,0362,Rue des Genêts ,4,Rue,03624ru,4,519,LE TAILLANMEDOC,1407898.05,4197000.86,0,Le Taillan-Médoc,19920310181800,20080925154544,519.0,7884.0,0.0,7884.0,7884.0,2738.0,14.0,11.0,63.0,2826.0,,,,,,genets,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
50,all,DES GENETS,0342,Allée des Genêts ,1,Allée,03421al,1,376,SAINT AUBIN DE MEDOC,1401001.09,4198803.25,0,Saint-Aubin-de-Médoc,19920618090900,20080925154500,376.0,4990.0,0.0,4990.0,4990.0,1669.0,7.0,2.0,31.0,1709.0,,,,,,genets,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
