index,type,street_simple,code_riv,street_full,code_commune,type_full,code_riv_commune,COM_code_commune,COM_code_ilot,COM_nom_commune_maj,COM_abscisse,COM_ordonne,COM_orientation,COM_nom_commune,COM_date_creation,COM_date_modifiction,ILOT_code_ilot_normalise,ILOT_pop_municipale,ILOT_pop_compté_a_part,ILOT_pop_totale,ILOT_pop_sans_double_compte,ILOT_nbr_residence_prin,ILOT_nbr_residence_secon,ILOT_NB_LOG_O,ILOT_nbr_logement_vancant,ILOT_nbr_logement_total,QUAR_code_rivoli,QUAR_nom_quartier,QUAR_nom_voie,QUAR_type,QUAR_code_rivoli_commune
6686,rue,DES CAMELIAS CAUD,1410,Rue des Camélias  ,18,Rue,141018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1410,Caudéran,RUE DES CAMELIAS,rue,141018ru
6687,rue,CAMILLE GODARD,1435,Rue Camille Godard ,18,Rue,143518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1435,Chartrons Grand-Parc Jardin Public,RUE CAMILLE GODARD,rue,143518ru
6688,rue,CAMILLE SAINT-SAENS CAUD,1451,Rue Camille Saint-Saens  ,18,Rue,145118ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1451,Caudéran,RUE CAMILLE SAINT SAENS,rue,145118ru
6689,rue,CANIS,1480,Rue Canis ,18,Rue,148018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1480,Bordeaux maritime,RUE CANIS,rue,148018ru
6690,rue,CANTEMERLE,1500,Rue Cantemerle ,18,Rue,150018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1500,Chartrons Grand-Parc Jardin Public,RUE CANTEMERLE,rue,150018ru
6691,rue,DE LA CAPE CAUD,1515,Rue de la Cape  ,18,Rue,151518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1515,Caudéran,RUE DE LA CAPE,rue,151518ru
6692,rue,DE CAPEYRON CAUD,1526,Rue de Capeyron  ,18,Rue,152618ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1526,Caudéran,RUE DE CAPEYRON,rue,152618ru
6693,rue,CAPITAINE MADON CAUD,1535,Rue Capitaine Madon  ,18,Rue,153518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1535,Caudéran,RUE DU CAPITAINE MADON,rue,153518ru
6694,rue,DU CARDINAL LECOT,1576,Rue du Cardinal Lecot ,18,Rue,157618ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,,,,,
6695,rue,DE CARDOZE CAUD,1580,Rue de Cardoze  ,18,Rue,158018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1580,Caudéran,RUE DE CARDOZE,rue,158018ru
6696,ave,CARNOT CAUD,1605,Avenue Carnot  ,18,Avenue,160518av,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1605,Caudéran,AVENUE CARNOT,avenue,160518av
6697,rue,CARRUADE CAUD,1620,Rue Carruade  ,18,Rue,162018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1620,Caudéran,RUE DE CARRUADE,rue,162018ru
6698,rue,CARTON CAUD,1625,Rue Carton  ,18,Rue,162518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1625,Caudéran,RUE CARTON,rue,162518ru
6699,rue,CASSIGNOL,1635,Rue Cassignol ,18,Rue,163518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1635,Chartrons Grand-Parc Jardin Public,RUE CASSIGNOL,rue,163518ru
6700,rue,CASTEJA,1640,Rue Casteja ,18,Rue,164018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1640,Centre-ville,RUE CASTEJA,rue,164018ru
6701,rue,CATROS,1665,Rue Catros ,18,Rue,166518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1665,Chartrons Grand-Parc Jardin Public,RUE CATROS,rue,166518ru
6702,rue,CATROS-GERAND,1667,Rue Catros-Gerand ,18,Rue,166718ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1667,Chartrons Grand-Parc Jardin Public,RUE CATROS GERAND,rue,166718ru
6703,rue,DE CAUDERAN,1675,Rue de éran ,18,Rue,167518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1675,Centre-ville,RUE DE CAUDERAN,rue,167518ru
6704,rue,CAZALIS,1710,Rue Cazalis ,18,Rue,171018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1710,Chartrons Grand-Parc Jardin Public,RUE CAZALIS,rue,171018ru
6705,rue,CEREY CAUD,1765,Rue Cerey  ,18,Rue,176518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1765,Caudéran,RUE CEREY,rue,176518ru
6706,rue,DE CHAMBRUN,1815,Rue de Chambrun ,18,Rue,181518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1815,Chartrons Grand-Parc Jardin Public,RUE DE CHAMBRUN,rue,181518ru
6707,rue,CHAMPLAIN,1830,Rue Champlain ,18,Rue,183018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1830,Bordeaux maritime,RUE CHAMPLAIN,rue,183018ru
6708,rue,CHANOINE ANDRE LACAZE CAUD,1840,Rue Chanoine André Lacaze  ,18,Rue,184018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1840,Caudéran,RUE DU CHANOINE ANDRE LACAZE,rue,184018ru
6709,cite,CHANTECRIT,1855,Cité Chantécrit ,18,Cité,185518ci,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1855,Bordeaux maritime,CITE CHANTECRIT,cite,185518ci
6710,rue,CHANTECRIT,1860,Rue Chantécrit ,18,Rue,186018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1860,Bordeaux maritime,RUE CHANTECRIT,rue,186018ru
6711,all,CHANTILLY CAUD,1865,Allée Chantilly  ,18,Allée,186518al,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1865,Caudéran,ALLEE CHANTILLY,allee,186518al
